#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Prompt	Typed Answer	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
1.5-T011	<p>Which command opens the About Windows dialog?</p>	winver	<p><code>winver</code> shows About Windows version information.</p>	<p>Use this for quick Windows version confirmation.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Windows Source::Messer-v140
1.5-T012	"<p>Which command form shows the current user plus full group and privilege
details?</p>"	whoami /all	<p><code>whoami /all</code> shows detailed current-user context.</p>	<p>The base <code>whoami</code> command is narrower; <code>/all</code> is the detailed form.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Identity Source::Messer-v140
1.5-T013	<p>What suffix do you add after a command name to display command-specific help?</p>	/?	<p>Use <code>[command] /?</code> to view syntax help.</p>	<p>This is useful before running commands with unfamiliar or disruptive options.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Help Source::Messer-v140
1.5-T014	<p>Which command form forces a general Group Policy update?</p>	gpupdate /force	<p><code>gpupdate /force</code> forces Group Policy processing.</p>	<p>Use <code>gpresult</code> for reporting policy results rather than forcing a refresh.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI GroupPolicy Source::Messer-v140
1.5-T015	<p>Which command form shows a summary of applied Group Policy results?</p>	gpresult /r	<p><code>gpresult /r</code> reports applied policy information.</p>	"<p>This typed form tests the common summary switch validated by the approved
notes.</p>"	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI GroupPolicy Source::Messer-v140
1.5-T016	<p>Which command scans protected Windows system files with System File Checker?</p>	sfc /scannow	<p><code>sfc /scannow</code> scans protected system files.</p>	<p>The command is for system-file integrity, not disk layout or share mapping.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 9	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Repair Source::Messer-v140
1.5-T017	<p>Which command displays basic TCP/IP and network adapter information?</p>	ipconfig	<p><code>ipconfig</code> displays local IP configuration.</p>	<p>Use the base command for basic network configuration checks.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 10	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Network Source::Messer-v140
1.5-T018	"<p>Which command form displays expanded IP details such as DNS and DHCP server
information?</p>"	ipconfig /all	<p><code>ipconfig /all</code> displays additional network adapter configuration details.</p>	<p>This is useful when basic address output is not enough.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 10	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Network Source::Messer-v140
1.5-T019	<p>Which command tests reachability and round-trip time with ICMP?</p>	ping	<p><code>ping</code> tests basic reachability and reports round-trip time.</p>	"<p>Some networks filter ICMP, so a failed ping is evidence to interpret, not a
complete diagnosis by itself.</p>"	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 10	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Network Source::Messer-v140
1.5-T020	<p>Which command displays network statistics and active connection information?</p>	netstat	<p><code>netstat</code> displays network statistics.</p>	"<p>The base command is the recall target; switches such as <code>-a</code> and <code>-n</code> refine
the output.</p>"	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 10	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Network Source::Messer-v140
1.5-T021	<p>Which command queries DNS server information?</p>	nslookup	<p><code>nslookup</code> looks up DNS names and IP addresses.</p>	<p>This is the DNS-focused command in Objective 1.5.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 10	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI DNS Source::Messer-v140
1.5-T022	<p>Which command maps a Windows share to a drive letter?</p>	net use	<p><code>net use</code> maps network resources such as shares.</p>	<p>Do not confuse <code>net use</code> with <code>net user</code>.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 10	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Network Source::Messer-v140
1.5-T023	<p>Which command displays user account information from the Windows command line?</p>	net user	<p><code>net user</code> works with user account information.</p>	<p>This is the account-focused <code>net</code> command in the objective.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 10	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Accounts Source::Messer-v140
1.5-T024	<p>Which Windows command traces the route to a destination?</p>	tracert	<p><code>tracert</code> shows the route by hop.</p>	<p>Use <code>tracert</code> for path visibility, not just reachability.</p>	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 10	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Network Source::Messer-v140
1.5-T025	"<p>Which command combines route tracing with packet-loss and latency statistics at
each hop?</p>"	pathping	<p><code>pathping</code> combines <code>ping</code>-style measurements with a route path.</p>	"<p>It is useful when <code>tracert</code> alone does not show loss or round-trip statistics
along the path.</p>"	easy	command	220-1202 1.5 - Microsoft Command-line Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.5; Professor Messer 220-1202 v1.40, p. 10	A+::220-1202::1.5 A+::220-1202::Domain1-OperatingSystems A+::220-1202::MicrosoftCommandlineTools Command CLI Network Source::Messer-v140
