#separator:Tab
#html:true
#tags column:10
#columns:Card ID	Prompt	Typed Answer	Back	Instructor Notes	Difficulty	Card Type	Objective	Source	Tags
1.9-T011	"<p>Type the base Linux command that associates a storage device or filesystem with
a directory.</p>"	mount	<p><code>mount</code> makes the filesystem accessible at a mount point.</p>	"<p><code>/etc/fstab</code> contains stored mount definitions; <code>mount</code> performs or displays
the active association.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 20	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Filesystems Source::Messer-v140
1.9-T012	"<p>Type the Linux command that changes the current shell to another user until
that session is exited.</p>"	su	<p><code>su</code> switches the shell's user identity.</p>	"<p><code>sudo</code> instead runs a specified command with another user's authority without
requiring the shell to remain in that identity.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 20	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Administration Source::Messer-v140
1.9-T013	"<p>Type the Linux command placed before another command to run that command with
superuser or another user's authority.</p>"	sudo	<p><code>sudo</code> elevates the specified command.</p>	"<p>This narrower scope differs from <code>su</code>, which changes the shell's user identity
until the session is exited.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 20	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command HighYield Linux CLI Administration Source::Messer-v140
1.9-T014	<p>Type the Linux package manager whose name expands to Advanced Packaging Tool.</p>	apt	<p><code>apt</code> manages application packages.</p>	"<p>Linux distributions do not all use the same package manager. Objective 1.9
also names <code>dnf</code> for RPM package management.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 20	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Packages Source::Messer-v140
1.9-T015	"<p>Type the Linux package manager named by Objective 1.9 that manages RPM packages
and replaced <code>yum</code>.</p>"	dnf	<p><code>dnf</code> installs, updates, and removes RPM packages.</p>	"<p>Choose the package manager supplied by the distribution; <code>apt</code> and <code>dnf</code> are
not assumed to coexist on every Linux system.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 20	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command HighYield Linux CLI Packages Source::Messer-v140
1.9-T016	"<p>Type the base Linux command that manages network interfaces, addresses, and
routes.</p>"	ip	<p><code>ip</code> provides network interface and routing functions.</p>	"<p>The command includes separate address and route views; this card tests only the
official base-command association.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 21	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Networking Source::Messer-v140
1.9-T017	<p>Type the base Linux command that tests IP reachability with ICMP.</p>	ping	<p><code>ping</code> tests reachability and reports round-trip timing.</p>	"<p>Use <code>dig</code> for DNS information and <code>traceroute</code> for path discovery; <code>ping</code> is
the reachability tool among these commands.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 21	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Networking Source::Messer-v140
1.9-T018	"<p>Type the Linux command named by Objective 1.9 that retrieves data identified by
a URL.</p>"	curl	<p><code>curl</code> retrieves URL-addressed data.</p>	"<p>The returned data can be displayed, searched, parsed, or used in automation;
the exact transfer options are beyond this card's scope.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 21	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Networking Source::Messer-v140
1.9-T019	<p>Type the Linux command named by Objective 1.9 that queries DNS information.</p>	dig	<p><code>dig</code> requests detailed information from DNS servers.</p>	"<p>Use <code>ping</code> for reachability and <code>traceroute</code> for the path. <code>dig</code> is the
DNS-specific tool among those commands.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 21	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command HighYield Linux CLI DNS Source::Messer-v140
1.9-T020	<p>Type the Linux command that maps the network path toward a destination.</p>	traceroute	<p><code>traceroute</code> discovers successive hops toward a destination.</p>	"<p>Some devices do not return the ICMP responses used for path discovery, and
firewalls can filter them.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 21	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command HighYield Linux CLI Networking Source::Messer-v140
1.9-T021	"<p>Type the Linux command used to open the system reference manual for another
command.</p>"	man	<p><code>man</code> displays the requested command's manual page.</p>	<p>Manual pages document command behavior and the available options.</p>	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, pp. 19, 21	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Documentation Source::Messer-v140
1.9-T022	<p>Type the base Linux command that displays or concatenates file contents.</p>	cat	<p><code>cat</code> sends the contents of one or more files to its output.</p>	"<p><code>cat</code> is useful for quick viewing and combination. Use a text editor such as
<code>nano</code> when the task is to modify content interactively.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 21	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Text Source::Messer-v140
1.9-T023	"<p>Type the Linux command that provides a continuously updated process and
resource-utilization view.</p>"	top	<p><code>top</code> displays live process, CPU, memory, and load information.</p>	"<p><code>ps</code> produces a process listing. <code>top</code> is the better match when the prompt
emphasizes a live resource view.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 21	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command HighYield Linux CLI Processes Source::Messer-v140
1.9-T024	<p>Type the base Linux command that lists process information and process IDs.</p>	ps	<p><code>ps</code> reports process information.</p>	"<p>Use <code>top</code> when a continuously refreshed resource view is required rather than
a process listing.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 21	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Processes Source::Messer-v140
1.9-T025	"<p>Type the base Linux command that reports storage space used by a file or
directory.</p>"	du	<p><code>du</code> reports disk usage for specified items.</p>	"<p><code>df</code> answers how much free space a filesystem has; <code>du</code> helps attribute used
space to files and directories.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 21	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Storage Source::Messer-v140
1.9-T026	<p>Type the base Linux command that reports free space for filesystems.</p>	df	<p><code>df</code> reports filesystem capacity and free space.</p>	"<p>Use <code>du</code> when the question asks how much space a particular file or directory
consumes.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 21	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command Linux CLI Storage Source::Messer-v140
1.9-T027	<p>Type the Linux full-screen text editor named by Objective 1.9.</p>	nano	<p><code>nano</code> is a terminal-based text editor.</p>	"<p>Configuration files are commonly text based. <code>cat</code> can display their contents,
while <code>nano</code> provides interactive editing.</p>"	easy	command	220-1202 1.9 - Linux Features and Tools	CompTIA 220-1202 Exam Objectives v4.0, Objective 1.9; Professor Messer 220-1202 v1.40, p. 21	A+::220-1202::1.9 A+::220-1202::Domain1-OperatingSystems A+::220-1202::LinuxFeaturesandTools Command HighYield Linux CLI TextEditor Source::Messer-v140
